Región del Libertador Gral. Bernardo O’Higgins;Nancagua;Metis SPA;Parque Fotovoltaico Yaquil;Solar;9;10.6;210;2
Región Metropolitana de Santiago;Maipú;CVE Proyecto Cuarenta y Ocho SpA.;Hortensia Solar;Solar;11;11.898;611;3
Región de Coquimbo;Vicuña;LENERGIA CHILE SpA;Planta Fotovoltaica Fundo San Isidro;Solar;15;10.85;16;2
Región de Tarapacá;Pozo Almonte;Parque Solar Fotovoltaico Sol de Tarapacá SpA.;Parque Solar Fotovoltaico Sol de Tarapacá;Solar;305;150.0;22;4
Región del Biobío;Los Angeles;Windkraft cuatro Chile SpA;Instalación de 3 aerogeneradores LASUR 1;Eólica;17;16.8;384;16
Región de Valparaíso;Papudo;MVC SOLAR 46 SpA;Parque Fotovoltaico Papudo - Quinquimo;Solar;11;9.936;10;2
Región de Coquimbo;Illapel;Verbena Solar SpA;Nueva Central Solar Fotovoltaica Verbena;Solar;64.2;74.659;36;5
Región de Arica y Parinacota;Arica-Camarones;E-CL S.A.;Planta Solar Fotovoltaica Pampa Camarones;Solar;620;300.0;345;2
Región de Tarapacá;Pozo Almonte;GENERADORA Y DISTRIBUIDORA DE ENERGÍA OXUM SPA;PARQUE SOLAR OXUM DEL TAMARUGAL;Solar;286.4;318.2;7;3
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;RA SOLAR SpA;Parque Fotovoltaico Alcones;Solar;120;115.002;132;5
Región de Valparaíso;Cabildo;GR Guayacan SpA;Parque Solar Fotovoltaico Cabilsol;Solar;11;6.78;10;4
Región de Valparaíso;Catemu;Solek Chile Services SpA;Parque Fotovoltaico El Caqui;Solar;10;10.61;240;4
Región de Antofagasta;Antofagasta;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Bonasort 9 MW;Solar;13.5;10.82;62;5
Región de Antofagasta;Antofagasta;AR Llanos del Viento SpA;Parque Eólico Llanos del Viento;Eólica;400;222.6;86;14
Región Metropolitana de Santiago;Til-Til;Pacific Hydro Chile S.A;Parque Fotovoltaico Don Patricio;Solar;368;182.0;299;2
Región Metropolitana de Santiago;El Monte;Callaqui de Verano SpA;Ampliación Parque Fotovoltaico El Monte Solar;Solar;6.2;6.01;637;4
Región de Antofagasta;Sierra Gorda;Helio Atacama Seis SpA;Proyecto Fotovoltaico Laberinto Oeste (BOLERO OESTE);Solar;195;69.8;70;3
Región de Atacama;Diego de Almagro;AR ENERGIA CHILE SpA;Parque Solar Pedernales;Solar;142;70.53;12;3
Región del Maule;Linares;Isidora Solar SpA;Parque fotovoltaico San Yolando;Solar;10;10.025;112;2
Región de La Araucanía;Renaico;PE VERGARA SPA;Parque Eólico Vergara;Eólica;65;39.6;207;9
Región de Coquimbo;Coquimbo-Monte Patria;CVE Proyecto Catorce SpA;PARQUE FOTOVOLTAICO MOMANO;Solar;8.6;7.53;180;4
Región de Los Lagos;Calbuco-Maullín;Engie Energía Chile S.A.;Parque Eólico Los Portones;Eólica;250;167.4;60;15
